Index,Term,Definition
569,åmara,Stack deck; shuffle (cards)--by putting good ones together in the deck; shuffler fixes deck of cards so that he deals himself good ones.
570,åmara,Tie a knife to the cock's foot.
571,åmarasion,Stacking deck; the act of shuffling cards by putting good ones together.
572,åmariyu,Yellow.
573,åmaru,Type of plant--nephrolepis. Fern
574,åmasa,Kneed dough.
575,åmaska,Add tobacco to betel nut mixture. Chewing tobacco.
576,åmasohan,Scar; wound mark
577,åmatgosu,Balsam.
578,åmbasadot,Ambassador.
579,åmbiento,Greedy; avaricious; glutton.
580,åmbo,Term used in game of bingo when two numbers next to each other horizontally are called. Partners.
581,åmbos,Both.
582,åmbos,Share (something)--esp. the cost of something; pitch in; share benefits; split (a bet).
583,åmbre,Hungry; starved; starving; famished.
584,åmbros,Share (something)--esp. the cost of something; pitch in; share benefits; split (a bet).
585,åmbulan,Ambulance; mobile hospital.
586,åme',"To screen, as a door or window. Wire screen (Rota)"
587,åme',noun. rain. (Saipan)
588,åmen,Okay; fine.
589,åmen,Amen
590,åmen,A term used with small children when directing them to kiss the hand of the elder.
591,åmenda,Amend.
592,Åmerikånon pao asu,A derogatory term for Chamorro who puts on airs. Literally American of smoky odor.
593,Åmerikånon pao take',A derogatory term for Chamorro who puts on airs.
594,Åmerikånon påpa' påtas,A derogatory term for Chamorro who puts on airs. Literally American under foot.
595,Åmerikånu,American (male).
596,åmiga,Friend (female); buddy; pal; comrade.
597,åmigu,Friend; buddy; pal; partner; companion; comrad (male).
598,åmin,I mean; that is to say. 
599,åminasa,Threaten; menace; frighten; scare.
600,åminasao,Threatening; menacing; sinister; defiant.
601,åminasayon,Easy to frighten.
602,åminasu,Threat; menace.
603,åminudu,Chip in; help out--in little bits. (Rota)
604,åminudu,Retail; sell in small quantities.
605,åmista,Fidelity; integrity; loyalty; friendliness.
606,åmistosamente,In a friendly way.
607,åmko',Old; worn out; ancient; not new; old person; aged; adult.
608,åmko'ña,Older.
609,åmonestasion,Warning; admonition.
610,åmontona,Heap; pile.
611,åmorao,Enamored; in love; infatuated.
612,åmores sekos,Awned beardgrass. 
613,åmot,Dispossess; deprive by force; bereave; debar; hinder from possessing; take (something) away; grab from; snatch from.
614,åmot,Medicine; herb; drug; narcotic drug.
615,åmot agaga',Iodine; merthiolate; reddish medicine.
616,åmot chetnot,Medicine applied to a wound or injured part.
617,åmot chetnot maipe,Medicine--for drinking when a patient is restless in his sleep or has sore in his mouth caused from unknown sources.
618,åmot dagga',Medicine--applied for swelling or inflammation.
619,åmot fresko,Medicine--for drinking when a patient is restless in his sleep or has sore in his mouth.
620,åmot gapotulu,Hair spray--medicin for hair.
621,åmot guesgues nifen,Toothpaste; tooth powder.
622,åmot hirida,Medicine applied to a wound or injured part.
623,åmot lila,Gentian violet; a purple medicine.
624,åmot måkpong,"Medicine--for urinary troubles, bed-wetting."
625,åmot måpga',"Maedicine--to stop bleeding after child delivery and for dislocation of the pelvic bone, taken internally."
626,åmot muna'maigo',Sleeping pill; soporific; anything to induce sleep.
627,åmot nifen,Poultice--for aching tooth.
628,åmot palai,Liniment; a medicated liquid for rubbing into the skin.
629,åmot sinagu,Medicine--for flu.
630,åmot tininu,Medicine--for piles or back pain.
631,åmot tumåga',Type of plant--cassia occidentalis. Senna.
632,åmot tumåga' kårabao,Type of plant--cassia sophera.
633,åmot ulo',De-worming pill.
634,åmotsa,Breakfast; lunch; morning meal; for some speakers any meal.
635,åmotsat,Breakfast time; time for lunch; eating time.
636,åmpaia',Umpire; referee.
637,åmpara,Protect.
638,åmtao,Experienced.
639,åmte,Apply first aid; treat wound; cure sickness.
640,åmtiyon,Curable; can respond to treatment.
641,åmu,Boss; master; employer; head.
642,åmurao,Enamored; in love; infatuated.
643,ånadot,Baby walker; a ring on wheels inside which a baby stands when learning to walk.
644,ånakko',Long; extended in time or length; not short.
645,ånalisa,Analyze; examine critically; study.
646,Ånatåhan,First island north of Saipan.
647,åncho,Wide; spacious; roomy; deep.
648,åndaba,Padlock; lock
649,åndadot,Baby walker.
650,åndami,Scaffold; platform used by builders working on the wall of a building.
651,åndas,Barrow; stretcher; litter.
652,åndas,Bier; bed.
653,ånduyo',Bunch of tabacco leaves.
654,ånes,"Honest; truly. From English ""honest."""
655,ånggariya,Stretcher; litter.
656,ånggosto,Narrow.
657,ånggosto na chålan,Narrow road.
658,ångheles,Angels
659,ånghet,Angel.
660,ångilao,Type of plant--grewia crenata. A type of tree.
661,ångiles,Indigo.
662,ångla'a,Gape; open mouth wide.
663,ånglo',Dry; arid; not wet or moist; dried; dried up.
664,ånglo',Sterile; barren; producing little or no crop.
665,ångokko,Trust; rely on; put confidence in; have faith in; place reliance in; confide in.
666,ångokkuyon,Trustful; truthful; trustworthy; dependable.
667,ånibat,Syrup; honey.
668,ånibetsåriu,Anniversary.
669,åniles,Type of plant--indigofera suffruticosa. Small bush.
670,ånima,Elate; inspire; encourage; strengthen; raise the spirit of.
671,ånimao,Lively; active; brisk; animated.
672,ånimas,Soul; spirit; ghost.
673,ånimat,Animal--used figuratively most of the time.
674,ånimosu,Courageous; valiant; stouthearted; valorous; spirited; dauntless; intrepid.
675,ånimu,Mettle; courage; spirit; effort.
676,ånit,Bluing agent--for laundering.
677,åniti,Devil; satan.
678,åniyon kånnai,Ring for finger.
679,åniyu,Ring; rim; any circular band.
680,ånkas,Share.
681,ånkas,"Ride together--either in front of or behind, as on a passenger seat of a motorcycle."
682,ånkla,Anchor.
683,ånnai,When (subordinator).
684,ånobiu,Lover (male).
685,ånokupao,Unoccupied; idle.
686,ånonas.,Type of plant--annona reticulata. Custard apple.
687,ånsianu,Experienced; initiated; skillful; ancient.
688,ånsias,noun. anxiety; longing; eagerness.
689,åntagonista,Antagonist; opposer; foe.
690,åntes bien,Sooner; much more; rather; to the contrary.
691,åntes di,Before; prior to; beforehand; before time; previous to.
692,ånti,Soul; spirit; ghost.
693,åntigon,Ancient.
694,åntigu,Ancient; dark ages; primitive.
695,åntigu gi setbisiu,Veteran.
696,åntiguamente,Olden times; long time ago.
697,åntiguayon,Very old.
698,åntiguo,Ancient.
699,åntihos,Eyeglasses; prince-nez; face mask--for skin diving; sunglasses.
700,åntikåmara,Vestibule; front chamber.
701,åntikristo,Anti-Christ
702,åntiohos,Eyeglasses; goggles; face mask; monocle; prine-nez--a lens of glass or rock crystal used to correct defects in vision.
703,åntios,Eyeglasses; prince-nez; sunglasses; face mask--for skin diving.
704,åntisipa,Anticipate.
705,åntisipante,Anticipant.
706,åntisipasion,Foretaste; anticipation.
707,ånto'asi,At least.
708,åntohu,Occasionally--if I feel like it; whim.
709,åntula,Mock; ridicule.
710,ånula,Annul.
711,ånunsia,Announce publicize; broadcast; inform.
712,ånunsiao,Can be announced; capable of being announced; can be broadcast.
713,ånunsiu,Announcement; message.
714,åpacha',Grasshopper; mantis.
715,åpacha' a'me',Type of insect--orthoptera tettigoniidae. Katydid.
716,åpacha' måtai,Type of insect--acrididae family; brown-spotted grasshopper.
717,åpacha' suette,Type of insect--licustidae; green grasshopper.
718,åpaga,Carry (something)--on the shoulder. Shoulder.
719,åpagayi,Carry on the shoulder.
720,åpahigai,Type of insect--orthoptera phasmidae. Walking stick; mantis.
721,åpaka',"Type of bird--gallicolumba xanthonura, white-throated ground dove."
722,åparadot,Closet; cabinet; clothes wardrobe; clothes closet; hot-locker.
723,åparadot nenkanno',Pantry; provision closet.
724,åparatos,Equipment; apparatus.
725,åparehu,Prepare.
726,åparehu,Mule pack; saddle.
727,åparensia,Looks' appearance; eye.
728,åparente,Seeming; apparent.
729,åpås,Wage; salary; stipend; fee; recompense for service rendered.
730,åpås diåriu,Daily wage.
731,åpås kontribusion,Revinue; taxes
732,åpås pasåhe,Fare.
733,åpåsi,Pay; make payment; compensate; remunerate; reimburse.
734,åpåsi i dåñu,Indemnify; make good on damage done.
735,åpasigua,Help; aid; assist; pacify; calm; appease.
736,åpasotes,Mexican tea.
737,åpasoti,Type of plant--chenopodium ambrosioides. Wormseed.
738,åpåtta,Remove; take away; send away; separate; disconnect; isolate; set apart.
739,åpåttao,Separated; isolated; divided.
740,åpayu'ak,Large spider
741,åpayuhak,Large spider (generic).
742,åpbladora,Gossiper (female).
743,åpbladoria,Gossip.
744,åpbladot,Slanderer; gossiper (male).
745,åpecheng,Cling; carry (something) under the arm; hold
746,åpedelok,Crumple.
747,åpehu,Type of plant--acrostium aureum. Mangrove fern.
748,åpela,Trust; depend on; rely on.
749,åpela,Appeal--a case at court
750,åpenas,Rarely; seldom; hardly; infrequent; not often.
751,åpigasa,Goose pimples; goose flesh; goose bumps.
752,åpiu,Celery.
753,åpiyidu,noun. surname; family name; last name.
754,åplåka,Make peace; placate; soothe feelings of.
755,åplåka,Make peace with God.
756,åplåkao,Appeased; assuaged.
757,åplåkao,Attack.
758,åplasta,Raze; level to the ground; blot out; crush; break.
759,åplasu,Applaud; applause; praise; approval; cheer.
760,åplika,Apply for; put to use; apply.
761,åplikao,Applicable; fit; suitable; relevant.
762,åplikapble,Applicable.
763,åplikasion,noun. 1) application form. 2) application; utilization; diligence.
764,åplohkateng,Type of plant--psychotria mariana. A type of tree.
765,åplok,Coconut--without any meat; young coconut.
766,åpmam,Ago; past; gone; awhile; for sometime; since olden times.
767,åposta,Bet; wager
768,åpostoles,noun. The apostles; the disciples; follower; scholar.
769,åpostoliku,"Apostolic--pertaining to the apostles, or to the Pope and his authority."
770,åpotalang,Crab--box
771,åpoyu,Prop; support.
772,åppan,Recede (water); dry up; become dry; evaporate.
773,åprebao,Approved.
774,åprehende,Apprehend; sieze; arrest.
775,åprendes,Fasten--with small tacks.
776,åprendis,Apprentice.
777,åpreta,Speed up; make fast; force to hurry;cause to hurry; hurry; hasten.
778,åpreta,Restrain; check; repress.
779,åpretadot,One who presses or hurries others.
780,åpretao,Contracted; cramped; tightly strung.
781,åpretao,Hasty; speedy; expeditious; done or made quickly.
782,åpretat,Hasty; speedy; expeditious; hurried; done without deliberation or due caution.
783,åprieta,Press; clasp; oppress; afflict.
784,åprobasion,Approval; approbation.
785,åprobecha,Use; make use of; enjoy; have pleasure or benefit of.
786,åpropositu,Fit; suitable; appropriate.
787,åprueba,Approve; test; verify; agree.
788,åpruebasion,Approval; approbation.
789,åpsolusion,Absolution; acquittal.
790,åpsolutamente,Absolutely; without limits.
791,åpsolutu,Absolute.
792,åpstinensia,Abstinence.
793,åpstrakto,Obstruction; obsticle; block.
794,åpu,noun. ash -- the remaining substance of what was burned; solid remains of a fire.
795,åpudera,Covet; claim--someone else's property.
796,åpunta,Aim; note down; write down; point at; direct at.
797,åpunta,Appoint.
798,åpura,Expedite; facilitate; hurry; hasten.
799,åpurao,Restless; hasty; eager; fervent; excited; intense; enthusiastic
800,åpusento,Bedroom; lodging; room.
801,åpuya',Navel.
802,åpuya' tåsi,Deep sea; deepest part of the ocean; central part of the ocean; equator. Literally navel of the ocean.
803,åpuyidu,Surname.
804,Årabia,Arab; Arabian.
805,årandela,Washer (metal); axle guard.
806,åranka,Budge; move.
807,åras,Wedding ring; ring; jewelrey given by groom to bride. 
808,åras,Pledge; earnest money.
809,åras,Favoritism; to favor one person over another.
810,årasa,Raze; destroy; completely.
811,årastra,Drag; pull along; draw along wearily.
812,åråñas,Spider; spider's web.
813,åråñas,Candelabra.
814,årea,Hurry up; hustle up; used to describe action of male mammal chasing after an animal in heat.
815,årebatao,Reckless; careless; heedless of consequences.
816,årebatao,Impetuous; irritable; effervescent; violent; vehement; boisterous; passionate; given to anger.
817,årekla,Fix; arrange; repair.
818,årekla,Digest; dissolve in the stomach by action of digestive juices.
819,åreklamento,Rule; regulation; condition; measure.
820,åreklao,Fixable; can be fixed; arranged; orderly.
821,åreklao,Disciplined; conditioned; regulated.
822,åreklayon,Fixable.
823,åreklo,Rule; regulation; measure; condition.
824,årendatariu,Lessor.
825,åresmetika,Arithmetic.
826,åresta,Arrest; seize; apprehend.
827,årestao,Arrested; capable of being arrested; under arrest.
828,årias,Unit of measurement--approximately 100 square meters.
829,åridedot,Surrounded; all around; all over.
830,åridondeha,Enclose.
831,åridondo,Round; circular; spherical; globular.
832,årienda,Pay rent; lease (land).
833,åriendo,Rental; lease; rent; a piece of leased land or property.
834,åriendot,Renter; rental; amount of rent.
835,åriesga,Dare; risk
836,årima,Get close; draw near; bring ones self nearer.
837,årina,Flour.
838,årofmetika,Arithmetic.
839,åroma,Type of plant--acacia farnesiana. A spiny shrub (yeilds gum).
840,åruru,Type of plany--maranta arundinacea. Arrowroot.
841,ås,Ace--as in cards.
842,åsa,Cause to blow away.
843,åsada,To plow.
844,åsada,Pickax; hoe; mattock; plow.
845,åsadot,Roasting spit.
846,åsaina,Show disgust--expletive.
847,Åsaina,Lord; God.
848,åsaina,Lord; master; owner; father.
849,åsaite,Oil--mainly used for medicine or food; cod oil; sala oil; coconut oil.
